연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,cluster,cluster_3-5세,cluster_6-8세,cluster_9-11세
3-5세,60,60,0.75,0.25,1.0,1.0,4,9,0,1.0,,
3-5세,120,300,1.25,0.5,1.0,1.0,2,3,0,1.0,,
3-5세,90,90,1.5,1.0,0.5555555555555556,0.5555555555555556,6,6,2,2.0,,
3-5세,30,30,0.5,0.25,1.0,1.0,5,6,0,1.0,,
3-5세,120,120,0.75,0.5,0.5,0.5,3,3,2,1.0,,
3-5세,120,300,0.75,0.5,1.0,1.0,4,5,0,1.0,,
3-5세,40,190,2.5,1.5,0.625,0.5013850415512465,5,5,3,2.0,,
3-5세,100,90,3.25,1.25,0.26,0.2592592592592592,5,5,3,2.0,,
3-5세,240,180,3.0,0.75,0.375,0.3333333333333333,6,6,3,2.0,,
3-5세,150,300,1.75,1.0,0.6800000000000002,0.52,4,6,2,2.0,,
3-5세,780,1020,3.75,1.5,0.3372781065088758,0.3356401384083045,1,2,1,0.0,,
3-5세,60,180,0.25,0.5,1.0,0.5555555555555556,3,3,0,1.0,,
3-5세,60,120,0.5,0.25,1.0,1.0,2,9,0,1.0,,
3-5세,35,40,1.5,0.5,0.7551020408163265,1.0,4,6,0,1.0,,
3-5세,300,420,2.5,1.5,0.3600000000000001,0.4285714285714285,2,2,3,0.0,,
3-5세,66,66,2.5,1.0,0.8347107438016528,0.8347107438016528,6,6,0,1.0,,
3-5세,120,180,2.25,0.75,0.375,0.3333333333333333,5,5,2,2.0,,
3-5세,120,120,2.5,0.25,0.5,1.0,3,5,0,1.0,,
3-5세,90,90,1.75,0.75,0.5555555555555556,0.5555555555555556,3,3,2,2.0,,
3-5세,80,80,2.75,1.0,0.25,0.25,3,3,3,2.0,,
3-5세,300,480,3.25,1.25,0.44,0.46875,6,6,3,0.0,,
3-5세,120,120,2.5,1.0,0.5,0.5,6,6,2,2.0,,
3-5세,120,120,2.5,0.5,0.5,1.0,4,5,0,1.0,,
3-5세,0,60,0.0,0.25,0.0,1.0,2,6,0,1.0,,
3-5세,120,160,2.5,0.75,0.375,0.34375,5,4,2,2.0,,
3-5세,20,120,1.25,0.5,1.0,1.0,6,6,0,1.0,,
3-5세,180,180,2.5,1.0,0.5555555555555556,0.5555555555555556,3,3,2,2.0,,
3-5세,20,40,1.25,0.5,1.0,1.0,9,9,0,1.0,,
3-5세,60,150,0.75,0.5,1.0,1.0,2,6,0,1.0,,
3-5세,40,70,0.75,0.75,0.375,0.4285714285714285,4,5,2,2.0,,
3-5세,20,50,0.75,0.5,1.0,0.52,4,6,2,1.0,,
3-5세,40,60,1.5,0.5,0.625,1.0,3,6,0,1.0,,
3-5세,45,130,2.25,1.0,0.5555555555555556,0.8579881656804735,4,5,2,2.0,,
3-5세,180,180,1.25,0.5,1.0,1.0,2,3,0,1.0,,
3-5세,90,180,1.75,0.75,0.5555555555555556,0.5555555555555556,5,6,2,2.0,,
3-5세,420,780,2.75,1.25,0.5510204081632654,0.5384615384615384,3,5,1,0.0,,
3-5세,30,0,1.25,0.0,1.0,0.0,5,9,2,1.0,,
3-5세,80,140,2.5,1.0,0.625,0.7551020408163265,4,4,2,2.0,,
3-5세,60,120,0.5,0.5,1.0,1.0,6,5,0,1.0,,
3-5세,30,40,1.5,0.75,0.5555555555555556,0.625,3,3,2,2.0,,
3-5세,450,450,2.5,1.25,0.3333333333333333,0.3333333333333333,6,6,3,0.0,,
3-5세,300,240,1.25,0.75,0.52,0.5,4,4,2,2.0,,
3-5세,210,210,2.25,1.5,0.4285714285714285,0.4285714285714285,6,6,3,2.0,,
3-5세,150,240,3.25,1.5,0.3600000000000001,0.375,4,4,3,2.0,,
3-5세,360,360,2.5,1.0,0.5,0.5,3,4,3,2.0,,
3-5세,300,360,1.75,0.75,0.3600000000000001,0.3888888888888889,6,6,2,2.0,,
3-5세,120,60,1.5,1.0,0.5,0.5,3,3,2,2.0,,
3-5세,90,360,0.75,1.0,0.3333333333333333,0.5,4,4,2,2.0,,
3-5세,0,90,0.0,0.5,0.0,1.0,3,3,0,1.0,,
3-5세,120,240,2.5,1.0,0.5,0.625,6,6,2,2.0,,
3-5세,180,360,3.75,1.5,0.3333333333333333,0.3888888888888889,3,2,3,2.0,,
3-5세,150,360,3.75,1.5,0.3600000000000001,0.3888888888888889,5,5,3,2.0,,
